objt_id,occu_year,occu_mt,occu_de,occu_tm,occu_day,occu_date,end_year,end_mt,end_de,end_tm,adres,rn_adres,resn,ar,amount,ctprvn_cd,sgg_cd,emd_cd,x,y
5030,2021,11,16,1239,화요일,20211116,2021,11,16,1600,경상북도 문경시 영순면 말응리 산92,null,담뱃불실화,0.05,8047000,47,47280,47280310,14277660.11,4375021.101
1337,2015,3,13,1623,금요일,20150313,2015,3,13,1655,경상북도 문경시 영순면 율곡리 산29,null,아궁이불씨발화,0.1,0,47,47280,47280310,14274694.04,4377119.185
1160,2014,7,30,1235,수요일,20140730,2014,7,30,1600,경상북도 문경시 영순면 율곡리 산62-8,null,입산자실화(숲가꾸기 작업장),0.2,0,47,47280,47280310,14273564.02,4375690.08
4356,2020,3,24,1516,화요일,20200324,2020,3,24,1610,경상북도 문경시 영순면 이목리 산31-1,null,농산폐기물소각,0.1,16346,47,47280,47280310,14279715.79,4378023.472
3603,2019,2,2,1223,토요일,20190202,2019,2,2,1255,경상북도 문경시 우지동 산33,null,담뱃불 실화추정,0.05,2982,47,47280,47280104,14271051.41,4386192.441
3035,2018,2,3,1322,토요일,20180203,2018,2,3,1430,경상북도 문경시 호계면 구산리 산21,null,농기계 용접실화,0.09,4726,47,47280,47280330,14273184.96,4389749.197
1822,2015,12,28,1510,월요일,20151228,2015,12,28,1730,경상북도 문경시 호계면 선암리 산30,null,기타(직접입력),0.8,0,47,47280,47280330,14274377.49,4395596.293
5031,2021,3,22,1256,월요일,20210322,2021,3,22,1500,경상북도 문경시 호계면 우로리 산6-1,null,쓰레기소각,0.3,20186000,47,47280,47280330,14271848.39,4389233.061
2800,2017,5,30,1225,화요일,20170530,2017,5,30,1420,경상북도 봉화군 명호면 고감리 산101,null,낙엽소각,0.03,1780,47,47920,47920370,14341420.94,4418634.858
5056,2021,4,24,1430,토요일,20210424,2021,4,24,1540,경상북도 봉화군 명호면 고감리 산83,null,입산자실화,0.01,6430000,47,47920,47920370,14340813.42,4419527.303
51,2011,2,19,1635,토요일,20110219,2011,2,19,1800,경상북도 봉화군 명호면 고계리 산2-1,null,입산자실화,0.05,3427,47,47920,47920370,14348977.42,4418178.542
1442,2015,3,23,1355,월요일,20150323,2015,3,23,1520,경상북도 봉화군 명호면 관창리 산174,null,차량화재 전이,0.1,0,47,47920,47920370,14342811.43,4412794.684
